127.0.0.1 - - [21/Nov/2018:22:48:27 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 404 1097
127.0.0.1 - - [21/Nov/2018:22:48:27 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:22:48:27 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:22:48:27 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 404 1097
127.0.0.1 - - [21/Nov/2018:22:49:44 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 404 1097
127.0.0.1 - - [21/Nov/2018:22:49:44 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:22:49:45 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 973
127.0.0.1 - - [21/Nov/2018:22:49:45 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 404 1097
127.0.0.1 - - [21/Nov/2018:22:55:19 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:22:55:19 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 932
127.0.0.1 - - [21/Nov/2018:22:55:19 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 404 1097
127.0.0.1 - - [21/Nov/2018:22:55:20 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:22:55:20 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 404 1097
127.0.0.1 - - [21/Nov/2018:22:55:20 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:22:55:20 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 404 1097
127.0.0.1 - - [21/Nov/2018:22:55:21 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:22:55:21 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 404 1097
127.0.0.1 - - [21/Nov/2018:22:55:21 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:22:55:21 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 404 1097
127.0.0.1 - - [21/Nov/2018:22:57:29 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:22:57:29 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 200 1293272
127.0.0.1 - - [21/Nov/2018:22:57:29 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:22:57:29 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 200 1293272
127.0.0.1 - - [21/Nov/2018:23:00:02 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:00:02 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:00:02 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 2012
127.0.0.1 - - [21/Nov/2018:23:00:02 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
