127.0.0.1 - - [01/Dec/2018:02:04:26 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [01/Dec/2018:02:04:28 -0800] "POST /Databaase/insert_shoppingbag.jsp HTTP/1.1" 200 373
127.0.0.1 - - [01/Dec/2018:02:04:28 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [01/Dec/2018:02:04:29 -0800] "GET /Databaase/main_page.jsp HTTP/1.1" 200 761
127.0.0.1 - - [01/Dec/2018:02:04:29 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [01/Dec/2018:02:04:30 -0800] "GET /Databaase/my_page.html HTTP/1.1" 200 872
127.0.0.1 - - [01/Dec/2018:02:04:30 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [01/Dec/2018:02:04:32 -0800] "GET /Databaase/my_page_shoppingbag.jsp HTTP/1.1" 200 836
127.0.0.1 - - [01/Dec/2018:02:04:32 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [01/Dec/2018:02:04:34 -0800] "GET /Databaase/purchase.jsp HTTP/1.1" 200 386
127.0.0.1 - - [01/Dec/2018:02:04:34 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [01/Dec/2018:02:04:35 -0800] "POST /Databaase/my_page.html HTTP/1.1" 200 872
127.0.0.1 - - [01/Dec/2018:02:04:35 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [01/Dec/2018:02:04:36 -0800] "GET /Databaase/my_page_order.jsp HTTP/1.1" 200 1600
127.0.0.1 - - [01/Dec/2018:02:04:36 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [01/Dec/2018:02:07:07 -0800] "POST /Databaase/my_page.html HTTP/1.1" 200 872
127.0.0.1 - - [01/Dec/2018:02:07:07 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
